temperature,humidity,light_level,hour_of_day,thermal_comfort,luminosity_comfort
19.55,80.05,727,15,neutral,too_bright
18.19,53.57,1023,10,cold,too_bright
29.45,74.21,606,4,hot,too_bright
25.05,53.11,707,18,hot,neutral
21.83,81.05,682,22,neutral,too_bright
20.05,49.38,987,14,neutral,too_bright
20.45,20.0,960,4,neutral,too_bright
20.13,51.63,142,10,neutral,too_dark
26.0,77.47,500,12,hot,neutral
28.62,63.08,887,21,hot,too_bright
12.97,46.77,906,18,cold,too_bright
27.37,62.3,518,16,hot,neutral
16.78,71.55,442,18,cold,neutral
27.9,53.79,51,16,hot,too_dark
12.75,94.23,510,7,cold,neutral
31.19,44.93,520,3,hot,too_bright
33.62,72.16,639,20,hot,too_bright
26.51,66.32,589,13,hot,neutral
30.45,45.71,201,23,hot,too_bright
16.86,50.99,1001,16,cold,too_bright
16.45,69.14,241,11,cold,too_dark
15.26,55.52,397,15,cold,neutral
12.33,65.01,502,15,cold,neutral
14.75,31.65,279,23,cold,too_bright
20.32,64.28,88,8,neutral,too_dark
17.48,61.79,653,9,cold,neutral
19.83,53.42,243,8,neutral,too_dark
25.73,61.06,869,2,neutral,too_bright
28.01,47.73,815,11,hot,too_bright
19.71,46.09,478,10,neutral,neutral
25.33,50.82,451,4,hot,too_bright
29.17,46.53,966,19,hot,too_bright
25.63,88.19,31,16,hot,too_dark
10.7,67.4,416,5,cold,too_bright
23.52,41.62,51,3,neutral,neutral
11.1,84.94,155,14,cold,too_dark
22.83,45.07,978,0,neutral,too_bright
20.4,56.68,68,3,neutral,neutral
16.65,69.74,948,10,cold,too_bright
21.0,29.96,802,23,neutral,too_bright
31.45,51.48,683,1,hot,too_bright
24.36,46.77,770,12,neutral,neutral
23.07,59.03,218,13,neutral,too_dark
19.68,62.59,80,6,neutral,neutral
23.97,55.76,387,12,neutral,neutral
14.39,53.78,713,15,cold,neutral
18.36,70.91,347,3,cold,too_bright
27.74,61.21,211,22,hot,too_bright
18.99,55.47,798,5,neutral,too_bright
20.45,54.64,594,8,neutral,neutral
17.9,79.54,546,0,neutral,too_bright
26.64,57.0,452,14,neutral,neutral
16.68,47.52,811,14,cold,neutral
25.99,31.31,800,2,hot,too_bright
23.06,33.25,364,7,neutral,neutral
34.68,48.09,185,18,hot,too_dark
20.07,52.57,842,17,neutral,too_bright
31.29,47.9,123,7,hot,too_dark
29.02,60.83,409,15,hot,neutral
29.81,45.2,938,17,hot,too_bright
15.4,39.26,399,8,cold,neutral
26.54,63.38,878,4,hot,too_bright
25.37,73.85,519,0,neutral,too_bright
26.52,37.93,769,22,neutral,too_bright
15.01,58.94,605,7,cold,neutral
19.3,25.42,262,19,cold,too_dark
28.88,35.79,932,7,hot,too_bright
9.68,48.49,467,17,cold,neutral
23.39,71.56,489,7,hot,neutral
20.2,41.39,714,14,neutral,neutral
29.38,42.7,946,22,hot,too_bright
24.96,55.27,927,18,neutral,too_bright
34.06,55.43,410,3,hot,too_bright
33.16,42.43,253,12,hot,too_dark
25.52,82.69,301,6,hot,too_bright
29.23,51.09,253,5,hot,too_bright
15.51,56.0,287,19,cold,too_dark
18.46,48.45,477,23,neutral,too_bright
17.8,61.79,14,22,cold,neutral
15.18,73.39,563,20,cold,too_bright
23.94,80.1,869,11,neutral,too_bright
11.75,42.77,433,12,cold,neutral
20.66,72.23,46,12,cold,too_dark
22.07,61.81,353,17,neutral,neutral
15.3,67.44,336,1,cold,too_bright
28.5,51.84,603,19,hot,neutral
21.69,50.84,236,19,neutral,too_dark
30.47,66.46,314,23,hot,too_bright
35.28,65.93,813,14,hot,neutral
27.5,79.49,218,10,hot,too_dark
14.91,60.53,956,11,cold,neutral
26.56,54.51,306,14,neutral,too_dark
16.18,20.0,853,7,cold,neutral
22.07,27.4,90,18,neutral,too_dark
25.07,49.47,344,10,hot,neutral
14.18,35.27,394,6,cold,too_bright
28.27,67.04,469,17,hot,neutral
22.36,33.75,79,8,neutral,too_dark
34.67,42.92,262,1,hot,too_bright
18.37,51.03,842,12,cold,too_bright
21.4,70.56,953,12,neutral,too_bright
31.88,45.16,400,6,hot,too_bright
27.91,61.53,128,0,hot,neutral
13.17,56.99,258,11,cold,neutral
19.59,69.48,1007,18,neutral,too_bright
30.49,66.27,943,19,hot,too_bright
23.75,55.26,834,5,neutral,too_bright
25.87,30.19,894,10,neutral,too_bright
25.03,48.77,707,21,hot,too_bright
31.51,55.17,667,8,hot,neutral
13.8,57.18,810,11,cold,neutral
20.29,41.61,648,16,neutral,neutral
29.73,72.69,321,10,hot,too_dark
31.65,54.39,646,20,hot,too_bright
28.09,41.94,299,8,hot,neutral
21.28,48.89,612,11,neutral,neutral
22.9,81.07,378,12,neutral,neutral
30.47,66.45,484,17,hot,neutral
30.43,71.3,179,8,hot,too_dark
17.7,38.2,975,6,cold,too_bright
17.42,44.4,776,8,cold,neutral
18.54,46.32,109,5,neutral,neutral
16.89,57.13,496,4,cold,too_bright
28.05,56.62,471,19,hot,neutral
22.49,50.64,902,8,neutral,too_bright
29.18,49.77,790,6,hot,too_bright
15.6,42.63,830,19,cold,too_bright
25.77,51.93,468,18,hot,neutral
24.11,70.5,144,5,neutral,neutral
14.12,32.55,740,7,cold,neutral
14.56,61.57,208,19,cold,too_dark
18.36,73.0,664,6,neutral,too_bright
31.27,53.54,438,20,hot,too_bright
35.85,48.93,323,14,hot,too_dark
20.89,70.01,126,15,neutral,too_dark
18.98,39.98,786,12,neutral,too_bright
19.33,55.72,716,0,neutral,too_bright
21.1,42.0,338,19,neutral,neutral
15.26,26.83,734,13,cold,too_bright
16.13,52.77,967,4,cold,too_bright
20.62,40.31,735,19,neutral,too_bright
8.34,55.44,943,7,cold,too_bright
28.75,69.71,443,8,hot,neutral
27.51,84.56,389,15,hot,neutral
15.08,57.21,887,6,cold,too_bright
24.11,68.98,687,0,hot,too_bright
20.19,58.78,584,7,neutral,neutral
25.14,49.73,653,16,neutral,neutral
19.64,26.01,1023,10,cold,too_bright
26.42,76.91,699,17,neutral,neutral
24.68,39.09,843,1,neutral,too_bright
25.24,75.44,25,6,hot,neutral
16.38,62.93,729,5,cold,too_bright
14.55,41.34,308,1,cold,too_bright
17.36,56.16,141,15,cold,too_dark
22.72,84.77,299,5,neutral,too_bright
12.58,77.06,838,11,cold,too_bright
17.4,49.96,855,23,neutral,too_bright
31.48,49.06,276,5,hot,too_bright
31.43,56.51,191,4,hot,too_bright
23.31,52.61,394,22,hot,too_bright
26.39,68.11,310,8,hot,neutral
19.39,67.9,438,7,cold,neutral
24.32,30.52,785,17,neutral,neutral
22.49,62.45,354,3,hot,too_bright
24.05,49.82,175,9,neutral,too_dark
24.7,59.52,96,4,neutral,neutral
18.31,61.78,696,21,neutral,too_bright
30.8,73.57,152,7,hot,too_dark
23.0,71.65,238,13,neutral,too_dark
20.0,43.86,765,12,neutral,neutral
19.44,55.76,77,11,neutral,too_dark
29.58,45.66,665,1,hot,too_bright
10.51,25.22,22,6,cold,neutral
10.28,50.82,970,20,cold,too_bright
28.83,81.06,728,13,hot,neutral
27.2,28.03,876,21,hot,too_bright
24.85,55.54,732,13,neutral,too_bright
26.31,53.64,411,7,hot,neutral
32.7,59.26,1016,8,hot,too_bright
30.32,38.19,801,18,hot,neutral
28.04,31.08,74,5,hot,neutral
10.42,34.4,599,14,cold,neutral
15.46,73.88,586,22,cold,too_bright
13.26,40.27,230,20,cold,too_bright
11.52,48.6,462,9,cold,neutral
32.75,89.85,1023,6,hot,too_bright
17.82,43.95,97,14,cold,too_dark
13.92,63.76,960,14,neutral,too_bright
33.04,71.77,676,17,hot,neutral
9.92,71.61,131,1,cold,neutral
18.96,37.13,337,12,neutral,too_dark
20.2,45.74,863,0,neutral,too_bright
23.79,57.93,703,23,neutral,too_bright
8.52,86.1,90,20,cold,neutral
22.72,42.83,124,17,neutral,too_dark
30.66,48.2,921,7,hot,too_bright
20.4,61.56,181,17,neutral,too_dark
25.84,66.58,666,10,neutral,neutral
20.83,65.99,1000,15,cold,too_bright
13.05,39.53,140,5,cold,neutral
34.56,51.2,23,11,hot,too_dark
15.22,59.9,840,21,cold,too_bright
19.86,72.83,942,4,neutral,too_bright
17.94,49.15,560,9,cold,neutral
23.03,56.56,226,6,neutral,too_bright
29.85,37.57,69,4,hot,neutral
14.47,84.55,914,9,cold,neutral
25.76,59.45,831,14,neutral,too_bright
11.06,69.87,933,1,cold,too_bright
33.14,53.97,765,4,hot,too_bright
18.84,55.34,426,19,neutral,neutral
21.56,30.52,489,6,neutral,too_bright
27.52,23.2,377,8,hot,neutral
17.36,74.52,769,16,cold,neutral
27.61,57.63,87,17,hot,too_dark
26.93,56.43,58,23,hot,neutral
26.47,37.94,996,3,hot,too_bright
17.79,39.48,322,18,neutral,neutral
30.88,72.61,53,17,hot,too_dark
21.01,78.13,650,2,neutral,too_bright
23.22,48.82,406,21,neutral,too_bright
14.93,64.03,216,7,cold,too_dark
30.42,59.05,441,10,hot,neutral
29.35,54.55,449,19,hot,neutral
11.95,80.24,627,12,cold,neutral
24.05,49.87,954,6,neutral,too_bright
24.34,72.51,905,7,neutral,neutral
29.35,60.11,850,17,hot,too_bright
13.26,53.41,518,4,cold,too_bright
20.29,78.81,539,11,neutral,neutral
21.15,57.01,147,17,neutral,too_dark
14.4,54.41,552,21,cold,too_bright
25.02,74.44,617,19,hot,neutral
31.81,75.92,957,8,hot,too_bright
18.05,77.67,23,4,cold,neutral
19.16,20.0,871,22,neutral,too_bright
34.97,61.88,483,14,hot,neutral
7.14,57.41,78,9,cold,too_dark
13.7,56.55,1023,21,cold,too_bright
29.63,63.65,482,17,hot,neutral
14.66,60.72,390,11,cold,neutral
21.83,64.37,183,4,neutral,too_bright
27.19,55.47,84,1,hot,neutral
25.22,73.09,90,12,hot,too_dark
26.32,67.44,276,2,hot,too_bright
14.95,63.12,318,7,cold,too_dark
19.57,62.31,471,16,neutral,neutral
27.22,72.93,659,0,hot,too_bright
23.16,70.44,1007,23,neutral,too_bright
11.85,53.75,830,10,cold,too_bright
28.56,70.67,515,20,hot,too_bright
12.51,61.11,893,4,cold,too_bright
22.29,78.22,582,11,neutral,neutral
30.58,75.16,416,23,hot,too_bright
12.3,50.74,196,15,cold,too_dark
23.87,86.46,421,19,hot,neutral
21.34,23.57,45,16,neutral,too_dark
18.13,67.3,116,17,cold,too_dark
32.58,46.39,967,8,hot,too_bright
26.8,86.59,193,10,neutral,too_dark
13.63,59.54,605,1,cold,too_bright
25.05,39.03,88,6,neutral,neutral
14.26,53.61,644,1,cold,too_bright
15.74,45.56,1008,7,cold,too_bright
24.5,53.35,467,17,neutral,neutral
30.53,47.0,161,4,hot,neutral
19.15,41.3,71,11,neutral,too_dark
28.71,59.08,768,13,hot,neutral
14.92,63.53,86,3,cold,neutral
9.2,43.28,335,19,cold,too_dark
22.13,28.67,827,18,neutral,neutral
30.75,58.85,517,4,hot,too_bright
27.67,68.72,925,0,hot,too_bright
26.4,64.85,907,0,hot,too_bright
19.22,64.62,655,7,neutral,neutral
18.97,77.69,1023,3,neutral,too_bright
33.26,70.91,2,0,hot,too_bright
26.51,93.46,260,11,hot,too_dark
21.01,95.0,263,12,neutral,too_dark
30.19,27.89,977,0,hot,too_bright
21.23,20.95,622,14,neutral,neutral
21.67,54.28,250,9,neutral,too_dark
17.09,63.62,167,4,neutral,neutral
33.22,57.64,876,2,hot,too_bright
11.79,64.37,863,18,cold,too_bright
15.92,48.97,27,2,cold,neutral
13.06,44.61,374,4,cold,too_bright
17.61,45.15,534,17,cold,neutral
10.0,48.73,184,15,cold,too_dark
12.12,69.78,737,23,cold,too_bright
33.12,47.86,769,0,hot,too_bright
24.07,51.02,866,4,neutral,too_bright
18.0,59.7,857,15,neutral,neutral
29.48,50.85,877,5,hot,too_bright
34.58,68.92,395,9,hot,neutral
22.66,41.17,298,7,neutral,too_dark
12.59,38.22,290,19,cold,too_dark
20.47,59.84,866,18,neutral,neutral
22.28,59.73,645,19,neutral,neutral
12.16,40.32,329,12,cold,too_dark
12.59,74.77,725,11,cold,neutral
17.78,84.59,197,13,cold,too_dark
20.61,44.42,303,1,neutral,too_bright
19.95,75.43,0,13,cold,too_dark
15.14,20.0,980,6,cold,too_bright
29.74,69.82,213,22,hot,neutral
31.48,41.23,758,4,hot,too_bright
27.76,67.44,99,0,hot,neutral
16.72,39.69,6,23,cold,neutral
20.23,56.44,695,3,neutral,too_bright
17.22,42.26,88,12,neutral,too_dark
25.13,49.31,166,9,neutral,too_dark
30.61,77.93,328,6,hot,too_bright
12.82,57.05,601,11,cold,neutral
23.64,88.93,20,17,hot,too_dark
18.33,49.78,138,2,cold,neutral
26.85,79.7,324,15,hot,neutral
14.85,31.67,743,21,neutral,too_bright
22.48,50.55,69,6,neutral,neutral
18.01,44.48,293,16,neutral,too_dark
28.55,81.88,166,22,hot,neutral
19.36,56.9,312,22,cold,too_bright
11.87,22.91,286,15,cold,neutral
28.76,35.42,668,22,hot,too_bright
27.53,39.92,94,18,hot,too_dark
18.66,70.16,953,12,cold,too_bright
27.12,67.99,272,3,hot,too_bright
15.7,49.34,997,20,cold,too_bright
15.86,46.82,734,6,neutral,too_bright
16.85,66.83,368,17,cold,neutral
24.15,36.73,330,15,neutral,neutral
23.63,64.76,955,8,neutral,too_bright
21.09,60.55,1023,18,neutral,too_bright
15.3,54.08,632,15,cold,neutral
15.4,58.18,56,17,cold,too_dark
27.24,57.84,906,22,hot,too_bright
29.65,60.68,478,6,hot,too_bright
17.94,33.72,25,18,neutral,too_dark
24.54,66.03,829,0,neutral,too_bright
12.23,69.94,12,17,cold,too_dark
21.7,65.01,347,3,neutral,too_bright
29.17,65.05,22,5,hot,neutral
14.22,51.96,465,4,cold,too_bright
29.29,69.41,846,19,hot,too_bright
19.35,55.5,81,8,neutral,too_dark
16.51,39.44,142,9,cold,too_dark
25.29,66.71,969,8,neutral,too_bright
19.79,31.3,210,14,neutral,too_dark
17.88,59.64,109,21,cold,too_bright
30.07,49.39,612,16,hot,neutral
15.87,50.36,272,2,cold,too_bright
20.25,53.97,962,12,neutral,too_bright
24.8,44.56,186,2,neutral,neutral
24.34,61.28,606,3,neutral,too_bright
16.48,53.15,910,4,cold,too_bright
24.8,44.06,778,16,neutral,too_bright
11.54,73.83,4,21,cold,neutral
31.26,57.6,133,5,hot,neutral
18.0,65.14,128,22,cold,neutral
14.19,77.33,948,6,cold,too_bright
17.25,75.18,168,7,neutral,too_dark
30.97,66.87,7,3,hot,neutral
19.79,49.72,378,1,cold,too_bright
16.04,29.66,273,14,cold,too_dark
21.7,57.41,201,9,neutral,too_dark
17.42,71.51,464,2,cold,too_bright
27.52,53.77,940,13,hot,too_bright
20.56,20.0,236,8,neutral,too_dark
22.67,67.85,1023,9,neutral,too_bright
22.11,66.67,656,21,neutral,too_bright
21.03,48.56,388,9,neutral,neutral
19.86,71.35,655,10,neutral,neutral
24.09,66.19,376,16,neutral,neutral
13.36,43.42,243,21,cold,too_bright
19.66,71.36,261,17,neutral,too_dark
22.13,36.25,4,11,neutral,too_dark
21.09,54.77,626,7,neutral,neutral
15.75,53.78,73,4,cold,neutral
19.73,41.49,186,2,neutral,too_bright
14.74,59.31,23,18,cold,too_dark
13.7,74.7,55,17,cold,too_dark
29.67,75.65,915,8,hot,too_bright
10.03,68.51,78,22,cold,neutral
21.27,32.76,655,23,neutral,too_bright
20.19,37.57,361,14,neutral,neutral
13.31,61.12,128,6,cold,neutral
31.09,56.51,278,12,hot,too_dark
19.5,46.35,120,19,neutral,too_dark
27.43,86.65,357,12,hot,neutral
17.43,53.84,804,11,cold,neutral
12.04,67.87,622,12,cold,neutral
33.6,67.87,807,20,hot,too_bright
27.14,57.6,725,9,neutral,too_bright
19.56,95.0,976,4,neutral,too_bright
27.17,41.81,100,12,hot,too_dark
13.93,41.81,153,15,cold,too_dark
19.3,38.96,372,22,neutral,too_bright
14.01,79.15,510,2,cold,too_bright
19.02,68.3,839,22,cold,too_bright
13.91,46.48,136,19,cold,too_dark
23.64,42.19,136,17,neutral,too_dark
17.63,72.84,804,5,neutral,too_bright
36.95,63.97,555,4,hot,too_bright
5.74,75.4,422,10,cold,neutral
13.99,55.68,235,4,cold,too_bright
24.65,65.48,746,15,hot,too_bright
23.08,57.19,804,18,neutral,too_bright
20.22,45.89,27,11,neutral,too_dark
17.09,53.39,35,16,cold,too_dark
14.68,36.72,746,18,cold,neutral
17.4,64.27,928,21,neutral,too_bright
19.44,65.08,277,16,cold,too_dark
29.84,69.96,741,5,hot,too_bright
14.84,64.26,868,3,cold,too_bright
23.12,57.73,161,22,hot,neutral
31.05,76.95,201,18,hot,neutral
13.78,69.87,153,20,cold,too_bright
29.3,79.42,812,10,hot,neutral
21.09,74.93,796,3,neutral,too_bright
25.03,53.31,133,14,neutral,too_dark
28.13,58.85,198,15,hot,too_dark
27.94,62.59,651,5,hot,too_bright
25.45,36.19,928,11,neutral,too_bright
30.71,36.95,775,10,hot,too_bright
33.43,34.49,183,6,hot,neutral
19.37,52.78,454,19,neutral,neutral
22.94,50.01,85,11,neutral,too_dark
19.42,31.07,279,22,neutral,neutral
27.24,57.94,598,0,hot,too_bright
29.75,55.99,293,22,hot,too_bright
27.29,75.39,617,15,neutral,neutral
28.1,84.67,314,16,hot,too_dark
18.47,63.63,524,6,neutral,too_bright
24.69,43.19,640,1,neutral,too_bright
10.83,64.01,197,5,cold,too_bright
32.68,55.94,14,10,hot,too_dark
34.72,50.73,321,8,hot,neutral
18.74,39.55,75,4,cold,neutral
22.21,49.7,73,0,neutral,neutral
27.11,50.68,300,16,hot,neutral
17.28,66.02,375,16,neutral,too_dark
23.05,64.78,282,3,neutral,too_bright
22.82,83.46,89,18,neutral,too_dark
25.92,65.47,170,23,hot,too_bright
22.65,58.43,880,23,hot,too_bright
16.01,48.08,733,4,cold,too_bright
25.09,40.23,444,10,neutral,neutral
18.33,47.71,9,1,cold,neutral
10.19,45.01,361,0,cold,too_bright
27.74,20.0,926,20,neutral,too_bright
30.1,38.86,808,23,hot,too_bright
28.52,79.46,746,4,hot,too_bright
31.24,58.03,264,11,hot,too_dark
12.98,49.54,387,0,cold,too_bright
29.18,58.2,0,19,hot,too_dark
23.01,23.59,852,13,neutral,too_bright
11.46,59.59,120,7,cold,too_dark
13.49,75.33,648,23,cold,too_bright
25.24,53.87,306,3,hot,too_bright
27.51,26.19,588,6,hot,too_bright
24.43,45.05,860,17,neutral,too_bright
24.24,74.17,318,9,hot,neutral
24.14,55.08,28,16,neutral,too_dark
11.41,35.61,690,5,cold,too_bright
28.01,88.35,525,15,hot,neutral
15.85,40.66,116,13,cold,too_dark
18.52,49.43,82,1,cold,neutral
29.05,40.37,540,7,hot,neutral
16.82,37.99,654,7,cold,neutral
18.68,47.88,90,14,neutral,too_dark
29.6,64.91,602,10,hot,neutral
21.72,76.08,420,11,neutral,neutral
32.19,51.25,156,4,hot,neutral
17.66,41.3,615,22,cold,too_bright
11.01,64.25,647,17,cold,neutral
24.9,61.39,207,16,neutral,too_dark
13.63,59.9,705,6,cold,too_bright
26.91,58.45,243,16,hot,neutral
22.7,55.28,580,5,neutral,too_bright
26.75,56.7,785,11,hot,too_bright
13.38,53.52,983,6,cold,too_bright
13.59,71.64,204,7,cold,too_dark
15.44,89.95,333,15,cold,too_dark
22.9,56.08,76,7,neutral,too_dark
26.85,51.76,968,17,neutral,too_bright
21.11,60.82,326,12,neutral,neutral
22.66,47.82,794,23,hot,too_bright
23.3,66.24,926,4,neutral,too_bright
17.79,63.24,493,22,neutral,too_bright
20.32,45.43,736,3,neutral,too_bright
21.86,67.29,439,13,neutral,neutral
22.23,55.45,593,8,neutral,neutral
30.0,36.98,268,18,hot,neutral
15.17,57.22,871,3,cold,too_bright
32.27,58.87,119,6,hot,neutral
14.42,68.19,661,5,cold,too_bright
23.62,66.78,960,22,neutral,too_bright
24.82,52.55,838,12,hot,too_bright
20.19,45.35,728,3,neutral,too_bright
21.44,54.59,666,18,neutral,neutral
22.39,60.42,969,6,neutral,too_bright
17.26,61.09,857,5,neutral,too_bright
35.16,58.52,274,11,hot,neutral
22.17,53.23,650,18,neutral,neutral
24.72,71.59,417,20,neutral,too_bright
29.46,44.7,276,0,hot,too_bright
20.61,88.34,812,21,neutral,too_bright
23.4,64.06,11,23,neutral,neutral
31.21,39.95,146,7,hot,too_dark
23.54,56.41,136,12,hot,too_dark
33.16,66.41,176,9,hot,too_dark
20.66,53.61,547,11,neutral,neutral
12.61,33.84,963,15,cold,too_bright
18.35,35.12,939,15,neutral,too_bright
26.23,66.02,885,11,hot,too_bright
13.69,28.98,792,11,cold,neutral
19.65,34.0,429,11,neutral,neutral
28.87,63.66,778,9,hot,neutral
21.82,53.49,271,2,neutral,too_bright
15.25,44.4,690,8,cold,neutral
18.63,44.62,12,17,cold,too_dark
14.4,33.58,964,23,cold,too_bright
9.74,59.5,973,19,cold,too_bright
20.2,46.54,755,20,cold,too_bright
27.35,46.24,189,18,hot,neutral
14.83,60.1,281,12,cold,neutral
13.1,49.8,783,16,cold,neutral
30.51,45.11,500,20,hot,too_bright
31.11,26.07,576,5,hot,too_bright
32.2,59.15,390,3,hot,too_bright
13.48,57.09,853,6,cold,too_bright
22.08,47.37,181,12,neutral,too_dark
25.3,39.25,476,18,hot,neutral
15.99,53.69,241,10,cold,too_dark
31.08,66.84,710,23,hot,too_bright
17.2,58.83,290,7,cold,too_dark
19.14,81.03,319,11,neutral,neutral
24.23,67.82,231,22,hot,too_bright
28.29,53.99,905,4,hot,too_bright
26.67,65.38,231,19,hot,too_dark
15.33,50.44,854,3,cold,too_bright
30.89,53.24,916,21,hot,too_bright
24.71,78.78,978,7,neutral,too_bright
26.53,43.85,373,15,hot,neutral
26.95,55.75,646,17,hot,neutral
34.08,69.69,863,9,hot,too_bright
20.84,60.9,82,13,neutral,too_dark
12.57,48.91,73,18,cold,too_dark
26.49,30.8,205,21,neutral,too_bright
17.21,20.0,990,2,cold,too_bright
25.96,85.16,67,11,hot,too_dark
18.4,61.4,798,20,neutral,too_bright
14.22,50.09,857,13,cold,too_bright
19.29,58.92,901,0,neutral,too_bright
12.28,38.79,546,3,cold,too_bright
20.67,52.08,623,19,cold,neutral
6.58,38.37,754,10,cold,too_bright
18.25,31.42,690,16,cold,neutral
7.64,23.96,740,21,cold,too_bright
30.68,35.21,362,2,hot,too_bright
22.42,68.62,978,10,neutral,too_bright
14.22,39.46,442,3,cold,too_bright
22.17,63.25,237,20,hot,neutral
33.87,68.4,767,10,hot,neutral
15.79,51.72,659,21,neutral,too_bright
17.46,52.13,104,7,cold,too_dark
9.96,57.37,196,3,cold,too_bright
13.35,49.48,24,20,cold,neutral
8.41,72.78,583,14,cold,neutral
36.06,86.17,889,4,hot,too_bright
16.54,75.74,308,16,cold,neutral
27.76,20.57,108,10,hot,too_dark
27.49,51.77,864,1,hot,too_bright
27.17,50.67,707,6,neutral,too_bright
30.51,61.64,578,18,hot,neutral
29.89,28.94,214,3,hot,neutral
14.38,28.62,671,8,cold,neutral
25.74,71.5,377,6,neutral,too_bright
17.49,44.24,225,17,cold,too_dark
16.07,34.6,286,20,cold,too_bright
23.15,41.22,79,18,neutral,too_dark
29.55,60.02,513,17,hot,neutral
20.16,40.8,758,2,neutral,too_bright
19.52,55.05,853,21,neutral,too_bright
11.77,42.2,739,3,cold,too_bright
16.86,30.84,871,9,neutral,too_bright
11.18,70.74,981,19,cold,too_bright
18.68,56.13,237,5,neutral,too_bright
12.91,50.27,450,5,cold,too_bright
22.01,47.71,302,0,neutral,too_bright
17.16,76.02,705,8,neutral,neutral
32.73,63.81,857,11,hot,too_bright
31.57,71.71,863,11,hot,too_bright
27.72,46.3,70,0,hot,neutral
17.89,53.96,539,4,cold,too_bright
23.51,61.01,153,0,neutral,neutral
22.95,45.4,295,5,neutral,too_bright
17.05,52.05,515,14,cold,neutral
16.9,42.51,586,0,cold,too_bright
20.2,60.63,843,3,neutral,too_bright
32.44,36.79,1012,13,hot,too_bright
20.81,62.93,326,13,neutral,neutral
23.92,58.95,580,21,neutral,too_bright
22.91,54.46,46,13,neutral,too_dark
25.93,63.79,126,22,neutral,neutral
16.21,53.0,987,17,cold,too_bright
19.33,49.46,864,13,cold,too_bright
26.11,63.27,940,9,hot,too_bright
24.64,61.49,271,2,neutral,neutral
20.42,46.35,693,16,neutral,neutral
26.76,47.25,242,22,hot,too_bright
24.07,55.14,724,8,neutral,neutral
14.76,44.62,473,8,cold,neutral
17.17,78.39,974,2,neutral,too_bright
25.08,58.16,400,14,hot,neutral
18.27,54.93,618,7,cold,neutral
17.06,40.69,702,0,neutral,too_bright
16.03,66.85,815,0,cold,too_bright
19.6,49.89,45,8,neutral,too_dark
31.3,46.16,466,11,hot,neutral
29.69,65.73,437,10,hot,neutral
21.62,59.62,248,17,neutral,too_dark
27.66,20.0,831,12,hot,neutral
14.91,50.89,866,18,neutral,too_bright
19.36,57.16,84,7,neutral,too_dark
27.69,45.08,705,5,hot,too_bright
20.96,56.98,874,12,neutral,too_bright
25.36,27.59,322,2,hot,too_bright
